,Sequence_name,Prediction,probability
4150,|1|Training,Non-autophagy protein,99.15%
4151,|1|Training,Non-autophagy protein,79.31%
4152,|1|Training,Non-autophagy protein,78.95%
4153,|1|Training,Non-autophagy protein,97.62%
4154,|1|Training,Non-autophagy protein,73.09%
4155,|1|Training,Non-autophagy protein,85.91%
4156,|1|Training,Autophagy Protein,52.11%
4157,|1|Training,Autophagy Protein,64.74%
4158,|1|Training,Non-autophagy protein,94.30%
4159,|1|Training,Non-autophagy protein,97.15%
4160,|1|Training,Non-autophagy protein,95.52%
4161,|1|Training,Autophagy Protein,58.99%
4162,|1|Training,Non-autophagy protein,98.01%
4163,|1|Training,Autophagy Protein,56.10%
4164,|1|Training,Non-autophagy protein,99.85%
4165,|1|Training,Non-autophagy protein,88.12%
4166,|1|Training,Non-autophagy protein,98.96%
4167,|1|Training,Non-autophagy protein,66.14%
4168,|1|Training,Non-autophagy protein,91.87%
4169,|1|Training,Non-autophagy protein,70.56%
4170,|1|Training,Non-autophagy protein,90.94%
4171,|1|Training,Non-autophagy protein,95.21%
4172,|1|Training,Non-autophagy protein,89.19%
4173,|1|Training,Non-autophagy protein,96.74%
4174,|1|Training,Non-autophagy protein,95.70%
4175,|1|Training,Non-autophagy protein,57.90%
4176,|1|Training,Non-autophagy protein,90.12%
4177,|1|Training,Non-autophagy protein,81.19%
4178,|1|Training,Non-autophagy protein,98.50%
4179,|1|Training,Non-autophagy protein,98.31%
4180,|1|Training,Non-autophagy protein,97.53%
4181,|1|Training,Non-autophagy protein,98.45%
4182,|1|Training,Non-autophagy protein,96.13%
4183,|1|Training,Non-autophagy protein,98.31%
4184,|1|Training,Non-autophagy protein,64.67%
4185,|1|Training,Non-autophagy protein,92.60%
4186,|1|Training,Non-autophagy protein,91.67%
4187,|1|Training,Non-autophagy protein,98.64%
4188,|1|Training,Non-autophagy protein,95.07%
4189,|1|Training,Non-autophagy protein,67.16%
4190,|1|Training,Non-autophagy protein,97.21%
4191,|1|Training,Non-autophagy protein,93.24%
4192,|1|Training,Non-autophagy protein,55.65%
4193,|1|Training,Non-autophagy protein,93.45%
4194,|1|Training,Non-autophagy protein,96.97%
4195,|1|Training,Non-autophagy protein,83.83%
4196,|1|Training,Non-autophagy protein,99.15%
4197,|1|Training,Non-autophagy protein,77.33%
4198,|1|Training,Non-autophagy protein,78.99%
4199,|1|Training,Non-autophagy protein,99.46%
4200,|1|Training,Non-autophagy protein,93.16%
4201,|1|Training,Autophagy Protein,67.47%
4202,|1|Training,Non-autophagy protein,81.48%
4203,|1|Training,Non-autophagy protein,80.01%
4204,|1|Training,Non-autophagy protein,99.63%
4205,|1|Training,Non-autophagy protein,98.87%
4206,|1|Training,Non-autophagy protein,93.83%
4207,|1|Training,Non-autophagy protein,81.78%
4208,|1|Training,Non-autophagy protein,99.36%
4209,|1|Training,Non-autophagy protein,89.54%
4210,|1|Training,Non-autophagy protein,99.16%
4211,|1|Training,Non-autophagy protein,99.06%
4212,|1|Training,Non-autophagy protein,97.07%
4213,|1|Training,Autophagy Protein,82.91%
4214,|1|Training,Non-autophagy protein,87.10%
4215,|1|Training,Non-autophagy protein,98.15%
4216,|1|Training,Autophagy Protein,85.85%
4217,|1|Training,Non-autophagy protein,69.16%
4218,|1|Training,Non-autophagy protein,99.39%
4219,|1|Training,Non-autophagy protein,99.70%
4220,|1|Training,Non-autophagy protein,97.90%
4221,|1|Training,Non-autophagy protein,55.24%
4222,|1|Training,Non-autophagy protein,93.73%
4223,|1|Training,Non-autophagy protein,94.82%
4224,|1|Training,Autophagy Protein,91.74%
4225,|1|Training,Non-autophagy protein,94.00%
4226,|1|Training,Non-autophagy protein,98.04%
4227,|1|Training,Non-autophagy protein,98.81%
4228,|1|Training,Autophagy Protein,67.45%
4229,|1|Training,Autophagy Protein,71.46%
4230,|1|Training,Non-autophagy protein,98.96%
4231,|1|Training,Non-autophagy protein,96.94%
4232,|1|Training,Autophagy Protein,58.59%
4233,|1|Training,Non-autophagy protein,54.13%
4234,|1|Training,Non-autophagy protein,69.65%
4235,|1|Training,Non-autophagy protein,99.49%
4236,|1|Training,Non-autophagy protein,66.36%
4237,|1|Training,Autophagy Protein,91.95%
4238,|1|Training,Non-autophagy protein,99.16%
4239,|1|Training,Autophagy Protein,76.48%
4240,|1|Training,Non-autophagy protein,98.10%
4241,|1|Training,Non-autophagy protein,97.14%
4242,|1|Training,Autophagy Protein,66.64%
4243,|1|Training,Autophagy Protein,52.96%
4244,|1|Training,Autophagy Protein,91.85%
4245,|1|Training,Non-autophagy protein,75.94%
4246,|1|Training,Autophagy Protein,77.12%
4247,|1|Training,Non-autophagy protein,97.49%
4248,|1|Training,Non-autophagy protein,98.24%
4249,|1|Training,Non-autophagy protein,99.42%
4250,|1|Training,Non-autophagy protein,98.04%
4251,|1|Training,Non-autophagy protein,76.97%
4252,|1|Training,Non-autophagy protein,96.87%
4253,|1|Training,Non-autophagy protein,67.75%
4254,|1|Training,Non-autophagy protein,96.06%
4255,|1|Training,Non-autophagy protein,95.83%
4256,|1|Training,Non-autophagy protein,88.95%
4257,|1|Training,Non-autophagy protein,89.66%
4258,|1|Training,Non-autophagy protein,88.56%
4259,|1|Training,Non-autophagy protein,98.77%
4260,|1|Training,Non-autophagy protein,96.60%
4261,|1|Training,Non-autophagy protein,99.19%
4262,|1|Training,Non-autophagy protein,98.54%
4263,|1|Training,Autophagy Protein,86.17%
4264,|1|Training,Non-autophagy protein,98.36%
4265,|1|Training,Autophagy Protein,97.56%
4266,|1|Training,Non-autophagy protein,92.81%
4267,|1|Training,Non-autophagy protein,87.35%
4268,|1|Training,Non-autophagy protein,99.16%
4269,|1|Training,Non-autophagy protein,99.43%
4270,|1|Training,Non-autophagy protein,99.85%
4271,|1|Training,Non-autophagy protein,99.39%
4272,|1|Training,Non-autophagy protein,98.16%
4273,|1|Training,Non-autophagy protein,98.21%
4274,|1|Training,Non-autophagy protein,97.04%
4275,|1|Training,Non-autophagy protein,71.76%
4276,|1|Training,Non-autophagy protein,91.95%
4277,|1|Training,Non-autophagy protein,99.51%
4278,|1|Training,Non-autophagy protein,99.43%
4279,|1|Training,Non-autophagy protein,90.95%
4280,|1|Training,Autophagy Protein,71.87%
4281,|1|Training,Non-autophagy protein,96.66%
4282,|1|Training,Non-autophagy protein,95.79%
4283,|1|Training,Non-autophagy protein,99.24%
4284,|1|Training,Non-autophagy protein,99.89%
4285,|1|Training,Non-autophagy protein,99.03%
4286,|1|Training,Non-autophagy protein,94.49%
4287,|1|Training,Non-autophagy protein,82.66%
4288,|1|Training,Non-autophagy protein,58.29%
4289,|1|Training,Non-autophagy protein,57.34%
4290,|1|Training,Autophagy Protein,90.79%
4291,|1|Training,Non-autophagy protein,70.21%
4292,|1|Training,Non-autophagy protein,96.80%
4293,|1|Training,Non-autophagy protein,83.26%
4294,|1|Training,Non-autophagy protein,76.93%
4295,|1|Training,Non-autophagy protein,84.17%
4296,|1|Training,Non-autophagy protein,99.17%
4297,|1|Training,Non-autophagy protein,88.62%
4298,|1|Training,Non-autophagy protein,92.73%
4299,|1|Training,Non-autophagy protein,71.93%
4300,|1|Training,Autophagy Protein,72.95%
4301,|1|Training,Non-autophagy protein,78.14%
4302,|1|Training,Non-autophagy protein,99.25%
4303,|1|Training,Autophagy Protein,75.25%
4304,|1|Training,Non-autophagy protein,99.66%
4305,|1|Training,Non-autophagy protein,94.06%
4306,|1|Training,Non-autophagy protein,57.36%
4307,|1|Training,Non-autophagy protein,89.95%
4308,|1|Training,Non-autophagy protein,99.84%
4309,|1|Training,Autophagy Protein,73.20%
4310,|1|Training,Autophagy Protein,86.00%
4311,|1|Training,Non-autophagy protein,89.01%
4312,|1|Training,Autophagy Protein,68.54%
4313,|1|Training,Non-autophagy protein,98.54%
4314,|1|Training,Non-autophagy protein,92.27%
4315,|1|Training,Autophagy Protein,55.85%
4316,|1|Training,Non-autophagy protein,91.90%
4317,|1|Training,Non-autophagy protein,87.17%
4318,|1|Training,Non-autophagy protein,93.45%
4319,|1|Training,Non-autophagy protein,73.02%
4320,|1|Training,Non-autophagy protein,83.16%
4321,|1|Training,Non-autophagy protein,78.75%
4322,|1|Training,Non-autophagy protein,98.50%
4323,|1|Training,Non-autophagy protein,84.50%
4324,|1|Training,Non-autophagy protein,49.00%
4325,|1|Training,Non-autophagy protein,99.20%
4326,|1|Training,Non-autophagy protein,97.46%
4327,|1|Training,Non-autophagy protein,61.06%
4328,|1|Training,Non-autophagy protein,98.14%
4329,|1|Training,Non-autophagy protein,98.78%
4330,|1|Training,Non-autophagy protein,94.04%
4331,|1|Training,Autophagy Protein,99.37%
4332,|1|Training,Non-autophagy protein,99.48%
4333,|1|Training,Autophagy Protein,91.02%
4334,|1|Training,Non-autophagy protein,95.02%
4335,|1|Training,Non-autophagy protein,96.60%
4336,|1|Training,Non-autophagy protein,98.79%
4337,|1|Training,Non-autophagy protein,99.05%
4338,|1|Training,Autophagy Protein,95.90%
4339,|1|Training,Non-autophagy protein,97.85%
4340,|1|Training,Non-autophagy protein,84.46%
4341,|1|Training,Non-autophagy protein,85.85%
4342,|1|Training,Autophagy Protein,87.18%
4343,|1|Training,Non-autophagy protein,95.65%
4344,|1|Training,Autophagy Protein,89.56%
4345,|1|Training,Non-autophagy protein,99.19%
4346,|1|Training,Autophagy Protein,58.64%
4347,|1|Training,Non-autophagy protein,50.70%
4348,|1|Training,Non-autophagy protein,63.47%
4349,|1|Training,Non-autophagy protein,98.11%
4350,|1|Training,Non-autophagy protein,96.71%
4351,|1|Training,Non-autophagy protein,93.20%
4352,|1|Training,Non-autophagy protein,97.07%
4353,|1|Training,Non-autophagy protein,91.60%
4354,|1|Training,Non-autophagy protein,94.77%
4355,|1|Training,Non-autophagy protein,94.53%
4356,|1|Training,Autophagy Protein,62.95%
4357,|1|Training,Non-autophagy protein,96.66%
4358,|1|Training,Non-autophagy protein,52.95%
4359,|1|Training,Non-autophagy protein,70.38%
4360,|1|Training,Non-autophagy protein,97.64%
4361,|1|Training,Non-autophagy protein,95.76%
4362,|1|Training,Non-autophagy protein,98.19%
4363,|1|Training,Non-autophagy protein,99.63%
4364,|1|Training,Non-autophagy protein,85.91%
4365,|1|Training,Non-autophagy protein,97.58%
4366,|1|Training,Non-autophagy protein,74.01%
4367,|1|Training,Non-autophagy protein,56.06%
4368,|1|Training,Non-autophagy protein,83.69%
4369,|1|Training,Autophagy Protein,59.59%
4370,|1|Training,Non-autophagy protein,96.11%
4371,|1|Training,Non-autophagy protein,99.26%
4372,|1|Training,Non-autophagy protein,99.43%
4373,|1|Training,Non-autophagy protein,99.57%
4374,|1|Training,Non-autophagy protein,94.47%
4375,|1|Training,Autophagy Protein,96.04%
4376,|1|Training,Non-autophagy protein,96.54%
4377,|1|Training,Non-autophagy protein,89.70%
4378,|1|Training,Non-autophagy protein,99.77%
4379,|1|Training,Non-autophagy protein,93.34%
4380,|1|Training,Non-autophagy protein,98.63%
4381,|1|Training,Non-autophagy protein,85.75%
4382,|1|Training,Non-autophagy protein,81.85%
4383,|1|Training,Non-autophagy protein,99.55%
4384,|1|Training,Non-autophagy protein,84.19%
4385,|1|Training,Non-autophagy protein,53.54%
4386,|1|Training,Non-autophagy protein,92.01%
4387,|1|Training,Non-autophagy protein,90.56%
4388,|1|Training,Non-autophagy protein,98.25%
4389,|1|Training,Non-autophagy protein,90.88%
4390,|1|Training,Non-autophagy protein,86.92%
4391,|1|Training,Non-autophagy protein,94.63%
4392,|1|Training,Non-autophagy protein,56.46%
4393,|1|Training,Autophagy Protein,79.67%
4394,|1|Training,Non-autophagy protein,85.47%
4395,|1|Training,Non-autophagy protein,85.21%
4396,|1|Training,Non-autophagy protein,90.25%
4397,|1|Training,Non-autophagy protein,98.96%
4398,|1|Training,Non-autophagy protein,98.81%
4399,|1|Training,Non-autophagy protein,93.51%
4400,|1|Training,Non-autophagy protein,95.44%
4401,|1|Training,Non-autophagy protein,82.01%
4402,|1|Training,Non-autophagy protein,95.06%
4403,|1|Training,Non-autophagy protein,98.47%
4404,|1|Training,Autophagy Protein,61.42%
4405,|1|Training,Non-autophagy protein,67.90%
4406,|1|Training,Non-autophagy protein,94.85%
4407,|1|Training,Non-autophagy protein,87.73%
4408,|1|Training,Non-autophagy protein,97.86%
4409,|1|Training,Non-autophagy protein,88.72%
4410,|1|Training,Non-autophagy protein,95.57%
4411,|1|Training,Non-autophagy protein,95.63%
4412,|1|Training,Non-autophagy protein,87.70%
4413,|1|Training,Non-autophagy protein,80.96%
4414,|1|Training,Non-autophagy protein,99.49%
4415,|1|Training,Non-autophagy protein,99.65%
4416,|1|Training,Non-autophagy protein,99.83%
4417,|1|Training,Non-autophagy protein,99.62%
4418,|1|Training,Autophagy Protein,64.19%
4419,|1|Training,Non-autophagy protein,85.33%
4420,|1|Training,Non-autophagy protein,76.04%
4421,|1|Training,Non-autophagy protein,59.83%
4422,|1|Training,Non-autophagy protein,69.32%
4423,|1|Training,Non-autophagy protein,95.29%
4424,|1|Training,Autophagy Protein,94.20%
4425,|1|Training,Non-autophagy protein,99.56%
4426,|1|Training,Non-autophagy protein,95.79%
4427,|1|Training,Non-autophagy protein,94.63%
4428,|1|Training,Non-autophagy protein,96.41%
4429,|1|Training,Non-autophagy protein,96.29%
4430,|1|Training,Non-autophagy protein,90.15%
4431,|1|Training,Non-autophagy protein,99.60%
4432,|1|Training,Non-autophagy protein,99.41%
4433,|1|Training,Autophagy Protein,77.93%
4434,|1|Training,Non-autophagy protein,97.14%
4435,|1|Training,Non-autophagy protein,95.68%
4436,|1|Training,Non-autophagy protein,99.92%
4437,|1|Training,Non-autophagy protein,53.62%
4438,|1|Training,Non-autophagy protein,99.62%
4439,|1|Training,Autophagy Protein,88.01%
4440,|1|Training,Autophagy Protein,75.42%
4441,|1|Training,Non-autophagy protein,66.38%
4442,|1|Training,Non-autophagy protein,99.38%
4443,|1|Training,Non-autophagy protein,84.67%
4444,|1|Training,Non-autophagy protein,98.91%
4445,|1|Training,Non-autophagy protein,95.42%
4446,|1|Training,Non-autophagy protein,59.90%
4447,|1|Training,Non-autophagy protein,94.06%
4448,|1|Training,Non-autophagy protein,74.51%
4449,|1|Training,Non-autophagy protein,97.93%
4450,|1|Training,Non-autophagy protein,64.09%
4451,|1|Training,Non-autophagy protein,88.11%
4452,|1|Training,Autophagy Protein,63.63%
4453,|1|Training,Non-autophagy protein,98.86%
4454,|1|Training,Non-autophagy protein,94.07%
4455,|1|Training,Non-autophagy protein,91.42%
4456,|1|Training,Non-autophagy protein,96.45%
4457,|1|Training,Non-autophagy protein,92.69%
4458,|1|Training,Non-autophagy protein,69.61%
4459,|1|Training,Non-autophagy protein,78.25%
4460,|1|Training,Autophagy Protein,57.22%
4461,|1|Training,Autophagy Protein,56.26%
4462,|1|Training,Non-autophagy protein,98.82%
4463,|1|Training,Non-autophagy protein,58.87%
4464,|1|Training,Non-autophagy protein,70.68%
4465,|1|Training,Non-autophagy protein,95.23%
4466,|1|Training,Non-autophagy protein,97.67%
4467,|1|Training,Non-autophagy protein,95.40%
4468,|1|Training,Non-autophagy protein,78.08%
4469,|1|Training,Non-autophagy protein,73.35%
4470,|1|Training,Non-autophagy protein,99.74%
4471,|1|Training,Autophagy Protein,57.50%
4472,|1|Training,Autophagy Protein,80.48%
4473,|1|Training,Non-autophagy protein,99.11%
4474,|1|Training,Non-autophagy protein,87.08%
4475,|1|Training,Autophagy Protein,69.68%
4476,|1|Training,Non-autophagy protein,95.85%
4477,|1|Training,Autophagy Protein,92.26%
4478,|1|Training,Non-autophagy protein,97.38%
4479,|1|Training,Autophagy Protein,56.51%
4480,|1|Training,Non-autophagy protein,58.33%
4481,|1|Training,Non-autophagy protein,98.76%
4482,|1|Training,Non-autophagy protein,96.28%
4483,|1|Training,Non-autophagy protein,78.30%
4484,|1|Training,Non-autophagy protein,96.27%
4485,|1|Training,Non-autophagy protein,99.71%
4486,|1|Training,Autophagy Protein,55.40%
4487,|1|Training,Autophagy Protein,74.95%
4488,|1|Training,Non-autophagy protein,89.78%
4489,|1|Training,Non-autophagy protein,84.43%
4490,|1|Training,Non-autophagy protein,96.22%
4491,|1|Training,Non-autophagy protein,51.31%
4492,|1|Training,Non-autophagy protein,90.26%
4493,|1|Training,Non-autophagy protein,98.17%
4494,|1|Training,Non-autophagy protein,86.49%
4495,|1|Training,Non-autophagy protein,96.50%
4496,|1|Training,Non-autophagy protein,98.84%
4497,|1|Training,Non-autophagy protein,98.35%
4498,|1|Training,Non-autophagy protein,99.75%
4499,|1|Training,Non-autophagy protein,94.21%
4500,|1|Training,Non-autophagy protein,92.82%
4501,|1|Training,Non-autophagy protein,99.38%
4502,|1|Training,Non-autophagy protein,66.12%
4503,|1|Training,Non-autophagy protein,81.65%
4504,|1|Training,Non-autophagy protein,50.00%
4505,|1|Training,Non-autophagy protein,85.99%
4506,|1|Training,Non-autophagy protein,99.41%
4507,|1|Training,Non-autophagy protein,78.23%
4508,|1|Training,Non-autophagy protein,93.82%
4509,|1|Training,Non-autophagy protein,90.62%
4510,|1|Training,Non-autophagy protein,95.40%
4511,|1|Training,Non-autophagy protein,99.02%
4512,|1|Training,Non-autophagy protein,93.28%
4513,|1|Training,Non-autophagy protein,86.90%
4514,|1|Training,Non-autophagy protein,63.96%
4515,|1|Training,Autophagy Protein,57.04%
4516,|1|Training,Non-autophagy protein,93.85%
4517,|1|Training,Non-autophagy protein,98.99%
4518,|1|Training,Non-autophagy protein,68.24%
4519,|1|Training,Non-autophagy protein,63.27%
4520,|1|Training,Non-autophagy protein,98.36%
4521,|1|Training,Non-autophagy protein,79.17%
4522,|1|Training,Non-autophagy protein,81.95%
4523,|1|Training,Non-autophagy protein,92.98%
4524,|1|Training,Non-autophagy protein,87.64%
4525,|1|Training,Non-autophagy protein,67.73%
4526,|1|Training,Non-autophagy protein,76.13%
4527,|1|Training,Non-autophagy protein,96.14%
4528,|1|Training,Non-autophagy protein,98.80%
4529,|1|Training,Non-autophagy protein,88.90%
4530,|1|Training,Non-autophagy protein,96.14%
4531,|1|Training,Non-autophagy protein,85.14%
4532,|1|Training,Non-autophagy protein,94.38%
4533,|1|Training,Non-autophagy protein,96.27%
4534,|1|Training,Autophagy Protein,75.89%
4535,|1|Training,Non-autophagy protein,96.26%
4536,|1|Training,Non-autophagy protein,98.07%
4537,|1|Training,Non-autophagy protein,86.84%
4538,|1|Training,Non-autophagy protein,97.59%
4539,|1|Training,Autophagy Protein,97.23%
4540,|1|Training,Non-autophagy protein,65.21%
4541,|1|Training,Non-autophagy protein,97.33%
4542,|1|Training,Non-autophagy protein,97.84%
4543,|1|Training,Non-autophagy protein,97.18%
4544,|1|Training,Autophagy Protein,72.87%
4545,|1|Training,Non-autophagy protein,65.74%
4546,|1|Training,Non-autophagy protein,98.26%
4547,|1|Training,Non-autophagy protein,78.61%
4548,|1|Training,Autophagy Protein,69.88%
4549,|1|Training,Non-autophagy protein,98.46%
4550,|1|Training,Non-autophagy protein,99.69%
4551,|1|Training,Non-autophagy protein,90.44%
4552,|1|Training,Non-autophagy protein,97.19%
4553,|1|Training,Non-autophagy protein,99.58%
4554,|1|Training,Non-autophagy protein,93.55%
4555,|1|Training,Autophagy Protein,65.93%
4556,|1|Training,Non-autophagy protein,98.84%
4557,|1|Training,Non-autophagy protein,70.18%
4558,|1|Training,Non-autophagy protein,99.67%
4559,|1|Training,Non-autophagy protein,98.25%
4560,|1|Training,Autophagy Protein,56.94%
4561,|1|Training,Autophagy Protein,88.09%
4562,|1|Training,Non-autophagy protein,99.19%
4563,|1|Training,Non-autophagy protein,99.43%
4564,|1|Training,Non-autophagy protein,95.34%
4565,|1|Training,Non-autophagy protein,75.56%
4566,|1|Training,Autophagy Protein,52.28%
4567,|1|Training,Non-autophagy protein,83.43%
4568,|1|Training,Non-autophagy protein,98.38%
4569,|1|Training,Non-autophagy protein,99.50%
4570,|1|Training,Non-autophagy protein,97.25%
4571,|1|Training,Non-autophagy protein,99.49%
4572,|1|Training,Non-autophagy protein,98.36%
4573,|1|Training,Autophagy Protein,74.74%
4574,|1|Training,Non-autophagy protein,99.63%
4575,|1|Training,Autophagy Protein,89.44%
4576,|1|Training,Non-autophagy protein,60.51%
4577,|1|Training,Non-autophagy protein,99.90%
4578,|1|Training,Non-autophagy protein,86.78%
4579,|1|Training,Non-autophagy protein,94.13%
4580,|1|Training,Non-autophagy protein,48.61%
4581,|1|Training,Non-autophagy protein,99.05%
4582,|1|Training,Non-autophagy protein,67.20%
4583,|1|Training,Non-autophagy protein,75.49%
4584,|1|Training,Non-autophagy protein,93.94%
4585,|1|Training,Non-autophagy protein,98.87%
4586,|1|Training,Non-autophagy protein,99.03%
4587,|1|Training,Non-autophagy protein,99.55%
4588,|1|Training,Non-autophagy protein,94.26%
4589,|1|Training,Non-autophagy protein,96.28%
4590,|1|Training,Non-autophagy protein,88.83%
4591,|1|Training,Non-autophagy protein,64.19%
4592,|1|Training,Non-autophagy protein,95.47%
4593,|1|Training,Non-autophagy protein,96.36%
4594,|1|Training,Non-autophagy protein,99.74%
4595,|1|Training,Non-autophagy protein,89.08%
4596,|1|Training,Non-autophagy protein,93.74%
4597,|1|Training,Non-autophagy protein,98.89%
4598,|1|Training,Non-autophagy protein,99.43%
4599,|1|Training,Non-autophagy protein,99.37%
4600,|1|Training,Non-autophagy protein,97.96%
4601,|1|Training,Non-autophagy protein,83.85%
4602,|1|Training,Non-autophagy protein,96.24%
4603,|1|Training,Non-autophagy protein,99.32%
4604,|1|Training,Non-autophagy protein,99.21%
4605,|1|Training,Non-autophagy protein,95.13%
4606,|1|Training,Non-autophagy protein,95.86%
4607,|1|Training,Non-autophagy protein,78.14%
4608,|1|Training,Non-autophagy protein,96.92%
4609,|1|Training,Autophagy Protein,59.12%
4610,|1|Training,Non-autophagy protein,99.17%
4611,|1|Training,Non-autophagy protein,99.57%
4612,|1|Training,Non-autophagy protein,96.00%
4613,|1|Training,Non-autophagy protein,99.30%
4614,|1|Training,Non-autophagy protein,95.77%
4615,|1|Training,Autophagy Protein,62.17%
4616,|1|Training,Non-autophagy protein,98.35%
4617,|1|Training,Non-autophagy protein,94.62%
4618,|1|Training,Non-autophagy protein,81.29%
4619,|1|Training,Autophagy Protein,52.65%
4620,|1|Training,Non-autophagy protein,99.77%
4621,|1|Training,Non-autophagy protein,97.88%
4622,|1|Training,Autophagy Protein,62.18%
4623,|1|Training,Non-autophagy protein,99.36%
4624,|1|Training,Non-autophagy protein,85.70%
4625,|1|Training,Autophagy Protein,56.59%
4626,|1|Training,Autophagy Protein,76.18%
4627,|1|Training,Non-autophagy protein,98.00%
4628,|1|Training,Non-autophagy protein,99.38%
4629,|1|Training,Non-autophagy protein,85.29%
4630,|1|Training,Non-autophagy protein,99.35%
4631,|1|Training,Non-autophagy protein,93.94%
4632,|1|Training,Autophagy Protein,55.47%
4633,|1|Training,Non-autophagy protein,99.52%
4634,|1|Training,Non-autophagy protein,99.03%
4635,|1|Training,Non-autophagy protein,99.73%
4636,|1|Training,Non-autophagy protein,86.25%
4637,|1|Training,Non-autophagy protein,81.56%
4638,|1|Training,Non-autophagy protein,98.62%
4639,|1|Training,Autophagy Protein,63.86%
4640,|1|Training,Non-autophagy protein,93.23%
4641,|1|Training,Non-autophagy protein,98.64%
4642,|1|Training,Non-autophagy protein,91.36%
4643,|1|Training,Non-autophagy protein,93.63%
4644,|1|Training,Non-autophagy protein,99.07%
4645,|1|Training,Non-autophagy protein,79.17%
4646,|1|Training,Non-autophagy protein,99.36%
4647,|1|Training,Non-autophagy protein,68.54%
4648,|1|Training,Non-autophagy protein,78.31%
4649,|1|Training,Autophagy Protein,91.76%
4650,|1|Training,Non-autophagy protein,86.72%
4651,|1|Training,Non-autophagy protein,93.09%
4652,|1|Training,Non-autophagy protein,97.32%
4653,|1|Training,Non-autophagy protein,92.21%
4654,|1|Training,Non-autophagy protein,97.03%
4655,|1|Training,Non-autophagy protein,95.90%
4656,|1|Training,Non-autophagy protein,84.03%
4657,|1|Training,Non-autophagy protein,79.87%
4658,|1|Training,Non-autophagy protein,50.53%
4659,|1|Training,Non-autophagy protein,58.02%
4660,|1|Training,Non-autophagy protein,85.80%
4661,|1|Training,Non-autophagy protein,83.05%
4662,|1|Training,Non-autophagy protein,93.69%
4663,|1|Training,Non-autophagy protein,64.24%
4664,|1|Training,Non-autophagy protein,97.00%
4665,|1|Training,Non-autophagy protein,95.66%
4666,|1|Training,Non-autophagy protein,92.03%
4667,|1|Training,Non-autophagy protein,94.15%
4668,|1|Training,Non-autophagy protein,92.10%
4669,|1|Training,Non-autophagy protein,65.31%
4670,|1|Training,Non-autophagy protein,95.90%
4671,|1|Training,Non-autophagy protein,97.52%
4672,|1|Training,Non-autophagy protein,83.74%
4673,|1|Training,Non-autophagy protein,95.84%
4674,|1|Training,Non-autophagy protein,91.29%
4675,|1|Training,Non-autophagy protein,95.86%
4676,|1|Training,Non-autophagy protein,91.63%
4677,|1|Training,Non-autophagy protein,54.40%
4678,|1|Training,Non-autophagy protein,94.05%
4679,|1|Training,Non-autophagy protein,79.45%
4680,|1|Training,Autophagy Protein,70.96%
4681,|1|Training,Autophagy Protein,59.31%
4682,|1|Training,Non-autophagy protein,92.57%
4683,|1|Training,Non-autophagy protein,96.49%
4684,|1|Training,Non-autophagy protein,99.41%
4685,|1|Training,Autophagy Protein,68.33%
4686,|1|Training,Non-autophagy protein,95.73%
4687,|1|Training,Non-autophagy protein,99.64%
4688,|1|Training,Non-autophagy protein,97.40%
4689,|1|Training,Non-autophagy protein,58.56%
4690,|1|Training,Non-autophagy protein,99.67%
4691,|1|Training,Autophagy Protein,57.38%
4692,|1|Training,Autophagy Protein,65.15%
4693,|1|Training,Non-autophagy protein,93.69%
4694,|1|Training,Non-autophagy protein,99.74%
4695,|1|Training,Autophagy Protein,62.21%
4696,|1|Training,Non-autophagy protein,93.96%
4697,|1|Training,Non-autophagy protein,65.52%
4698,|1|Training,Non-autophagy protein,98.75%
4699,|1|Training,Non-autophagy protein,99.76%
4700,|1|Training,Non-autophagy protein,95.82%
4701,|1|Training,Non-autophagy protein,63.52%
4702,|1|Training,Non-autophagy protein,99.13%
4703,|1|Training,Autophagy Protein,88.33%
4704,|1|Training,Non-autophagy protein,99.33%
4705,|1|Training,Non-autophagy protein,59.06%
4706,|1|Training,Non-autophagy protein,99.62%
4707,|1|Training,Non-autophagy protein,93.97%
4708,|1|Training,Non-autophagy protein,83.77%
4709,|1|Training,Non-autophagy protein,99.75%
4710,|1|Training,Non-autophagy protein,99.80%
4711,|1|Training,Non-autophagy protein,90.93%
4712,|1|Training,Non-autophagy protein,95.80%
4713,|1|Training,Non-autophagy protein,98.24%
4714,|1|Training,Autophagy Protein,88.29%
4715,|1|Training,Non-autophagy protein,85.03%
4716,|1|Training,Non-autophagy protein,98.20%
4717,|1|Training,Non-autophagy protein,74.41%
4718,|1|Training,Non-autophagy protein,99.53%
4719,|1|Training,Non-autophagy protein,97.66%
4720,|1|Training,Autophagy Protein,59.98%
4721,|1|Training,Non-autophagy protein,95.72%
4722,|1|Training,Non-autophagy protein,54.54%
4723,|1|Training,Autophagy Protein,55.87%
4724,|1|Training,Non-autophagy protein,55.97%
4725,|1|Training,Autophagy Protein,55.91%
4726,|1|Training,Non-autophagy protein,86.83%
4727,|1|Training,Non-autophagy protein,99.65%
4728,|1|Training,Autophagy Protein,91.26%
4729,|1|Training,Non-autophagy protein,70.92%
4730,|1|Training,Non-autophagy protein,98.41%
4731,|1|Training,Non-autophagy protein,99.50%
4732,|1|Training,Non-autophagy protein,97.38%
4733,|1|Training,Non-autophagy protein,81.71%
4734,|1|Training,Non-autophagy protein,78.39%
4735,|1|Training,Non-autophagy protein,92.16%
